customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,call_duration_sec,wait_time_sec,customer_text,issue_category,repeat_contacts_7d,billing_issue_flag,usage_change_score,label,customer_name,phone_number
7590-VHVEG,True,False,True,False,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,267,39,"(대기 39초, 광주 북구 센터 연결)
고객: 안녕하세요, 몇 가지 확인 부탁드립니다.
고객: 기가프리미엄 1G 쓰고 있는데 이번 달 청구가 29원으로 평소보다 많이 나왔어요. 결제는 'Electronic check'로 자동이체 중입니다.
상담사: 문의 주셔서 감사합니다. 정확히 확인 도와드리겠습니다.
상담사: 최근 청구 내역과 사용량 변동, 할인/결합 적용 여부를 함께 확인하겠습니다. 요금제 변경 이력과 결제수단, 부가서비스 과금 유무를 살펴보겠습니다.
상담사: 요금제와 실제 이용 패턴이 맞지 않아 과금이 늘어난 것으로 보입니다. 더 적합한 요금제로 변경 시 월 5% 절감 예상입니다.
상담사: 고객님은 1개월 이용 중이며, 사용 패턴이 비슷해 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-722556입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 안내해 주신 내용대로 진행해 보겠습니다.",요금,2,False,0.518,1,조하은,01043033054
5575-GNVDE,False,False,False,False,34,True,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,362,9,"(대기 9초, 서울 강서구 센터 연결)
고객: 안녕하세요, 문의 드릴 게 있어 연락했습니다.
고객: One year로 이용 중인데 품질이 안정적이지 않아서 해지를 생각하고 있습니다. 약정/위약금이 궁금합니다.
상담사: 문의 주셔서 감사합니다. 정확히 확인 도와드리겠습니다.
상담사: 해지 사유를 여쭤봐도 될까요? 불편 사항을 먼저 해결해드릴 수 있는지 검토하겠습니다. 해지 전 혜택/요금 조정, 품질 점검 등 가능한 대안을 안내드리겠습니다.
상담사: 원하시면 즉시 해지 접수 가능하며, 위약금은 1000원으로 예상됩니다. 대안을 함께 검토해 보시겠어요?
상담사: 고객님은 34개월 이용 중이며, 사용 패턴이 비슷해 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-146020입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 안내해 주신 내용대로 진행해 보겠습니다.",해지,0,False,0.213,0,임지유,01032977892
3668-QPYBK,False,False,False,False,2,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,389,34,"(대기 34초, 세종시 센터 연결)
고객: 안녕하세요, 문의 드릴 게 있어 연락했습니다.
고객: DSL인데 회의 중 끊김이 심합니다. 집에서는 UHD 셋톱박스 사용 중이고, 아직 원격 지원은 안 받아봤어요.
상담사: 불편을 드려 죄송합니다. 제가 상세히 도와드릴게요.
상담사: 연결 환경과 장비 상태, 지역 서비스 품질을 차례로 확인하겠습니다. 모뎀/공유기 재부팅 이력과 최근 펌웨어 업데이트 여부를 보겠습니다.
상담사: 채널 간섭이 높은 구간으로 확인됩니다. 5GHz 고정과 채널 자동 최적화를 적용해 보시겠어요?
상담사: 고객님은 2개월 이용 중이며, 최근 사용량이 줄어 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-690462입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 안내해 주신 내용대로 진행해 보겠습니다.",품질,1,False,0.025,0,김지민,01093492200
7795-CFOCW,False,False,False,False,45,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,264,32,"(대기 32초, 대전 유성구 센터 연결)
고객: 안녕하세요, 이용 중 불편이 있어 상담 요청드립니다.
고객: One year로 이용 중인데 품질이 안정적이지 않아서 해지를 생각하고 있습니다. 약정/위약금이 궁금합니다.
상담사: 문의 주셔서 감사합니다. 정확히 확인 도와드리겠습니다.
상담사: 해지 사유를 여쭤봐도 될까요? 불편 사항을 먼저 해결해드릴 수 있는지 검토하겠습니다. 해지 전 혜택/요금 조정, 품질 점검 등 가능한 대안을 안내드리겠습니다.
상담사: 장기 고객 혜택으로 약정 없이 요금 20% 인하 옵션이 있습니다. 또한 품질 점검 후 결정하셔도 됩니다.
상담사: 고객님은 45개월 이용 중이며, 사용 패턴이 비슷해 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-418302입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 안내해 주신 내용대로 진행해 보겠습니다.",해지,1,False,0.278,0,임서연,01095048167
9237-HQITU,True,False,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,346,88,"(대기 88초, 세종시 센터 연결)
고객: 안녕하세요, 이용 중 불편이 있어 상담 요청드립니다.
고객: 지금은 인터넷이 완전히 안 됩니다. 재부팅도 했고 케이블도 확인했어요. 업무가 막혔습니다.
상담사: 문의 주셔서 감사합니다. 정확히 확인 도와드리겠습니다.
상담사: 현재 지역 장애 여부와 회선 상태를 우선 점검하겠습니다. 장애가 확인되면 임시 우회 조치와 복구 예정 시간을 바로 안내드리겠습니다.
상담사: 현재 지역 장애가 감지되어 임시로 LTE 백업 연결을 제공하겠습니다.
상담사: 고객님은 2개월 이용 중이며, 사용 패턴이 비슷해 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-132076입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 안내해 주신 내용대로 진행해 보겠습니다.",장애,1,False,0.36,1,황지호,01038869400
9305-CDSKC,True,False,False,False,8,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,447,15,"(대기 15초, 세종시 센터 연결)
고객: 안녕하세요, 몇 가지 확인 부탁드립니다.
고객: Fiber optic인데 회의 중 끊김이 심합니다. 집에서는 AI 스피커 사용 중이고, 아직 원격 지원은 안 받아봤어요.
상담사: 문의 주셔서 감사합니다. 정확히 확인 도와드리겠습니다.
상담사: 연결 환경과 장비 상태, 지역 서비스 품질을 차례로 확인하겠습니다. 모뎀/공유기 재부팅 이력과 최근 펌웨어 업데이트 여부를 보겠습니다.
상담사: 광모뎀 신호 약화가 감지됩니다. 기사 방문을 예약해 드리겠습니다. 가장 빠른 일정은 3일 후입니다.
상담사: 고객님은 8개월 이용 중이며, 최근 사용량이 늘어 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-362589입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 문자/앱 알림으로 진행 상황 받아보겠습니다.",품질,1,False,0.855,0,김지민,01025934701
1452-KIOVK,False,False,False,True,22,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,357,23,"(대기 23초, 대전 유성구 센터 연결)
고객: 안녕하세요, 이용 중 불편이 있어 상담 요청드립니다.
고객: Fiber optic인데 회의 중 끊김이 심합니다. 집에서는 UHD 셋톱박스 사용 중이고, 아직 원격 지원은 안 받아봤어요.
상담사: 걱정되실 수 있겠습니다. 단계별로 확인해 보겠습니다.
상담사: 연결 환경과 장비 상태, 지역 서비스 품질을 차례로 확인하겠습니다. 모뎀/공유기 재부팅 이력과 최근 펌웨어 업데이트 여부를 보겠습니다.
상담사: 광모뎀 신호 약화가 감지됩니다. 기사 방문을 예약해 드리겠습니다. 가장 빠른 일정은 0일 후입니다.
상담사: 고객님은 22개월 이용 중이며, 최근 사용량이 늘어 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-542758입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 문자/앱 알림으로 진행 상황 받아보겠습니다.",품질,1,True,0.799,0,장민준,01059980298
6713-OKOMC,True,False,False,False,10,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,290,13,"(대기 13초, 대전 유성구 센터 연결)
고객: 안녕하세요, 몇 가지 확인 부탁드립니다.
고객: UHD 셋톱 포함 쓰고 있는데 이번 달 청구가 29원으로 평소보다 많이 나왔어요. 결제는 'Mailed check'로 자동이체 중입니다.
상담사: 불편을 드려 죄송합니다. 제가 상세히 도와드릴게요.
상담사: 최근 청구 내역과 사용량 변동, 할인/결합 적용 여부를 함께 확인하겠습니다. 요금제 변경 이력과 결제수단, 부가서비스 과금 유무를 살펴보겠습니다.
상담사: 일부 부가서비스가 활성화되어 있었습니다. 즉시 해지 처리하고 이번 달분에 대해 1000원 조정 가능 여부를 확인하겠습니다.
상담사: 고객님은 10개월 이용 중이며, 사용 패턴이 비슷해 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-419729입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 문자/앱 알림으로 진행 상황 받아보겠습니다.",요금,0,False,0.22,1,박민준,01079092441
7892-POOKP,True,False,True,False,28,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,169,32,"(대기 32초, 서울 강서구 센터 연결)
고객: 확실한 안내와 조치 부탁드립니다.
고객: 기가라이트 500M 쓰고 있는데 이번 달 청구가 104원으로 평소보다 많이 나왔어요. 결제는 'Electronic check'로 자동이체 중입니다.
상담사: 거듭 불편을 드려 죄송합니다. 신속히 원인부터 점검하겠습니다.
상담사: 최근 청구 내역과 사용량 변동, 할인/결합 적용 여부를 함께 확인하겠습니다. 요금제 변경 이력과 결제수단, 부가서비스 과금 유무를 살펴보겠습니다.
상담사: 일부 부가서비스가 활성화되어 있었습니다. 즉시 해지 처리하고 이번 달분에 대해 1000원 조정 가능 여부를 확인하겠습니다.
상담사: 고객님은 28개월 이용 중이며, 최근 사용량이 늘어 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-212555입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 문자/앱 알림으로 진행 상황 받아보겠습니다.",요금,2,True,0.895,1,신서준,01080472225
6388-TABGU,False,False,False,True,62,True,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,314,12,"(대기 12초, 서울 송파구 센터 연결)
고객: 안녕하세요, 이용 중 불편이 있어 상담 요청드립니다.
고객: DSL인데 회의 중 끊김이 심합니다. 집에서는 기가 공유기 사용 중이고, 아직 원격 지원은 안 받아봤어요.
상담사: 문의 주셔서 감사합니다. 정확히 확인 도와드리겠습니다.
상담사: 연결 환경과 장비 상태, 지역 서비스 품질을 차례로 확인하겠습니다. 모뎀/공유기 재부팅 이력과 최근 펌웨어 업데이트 여부를 보겠습니다.
상담사: 광모뎀 신호 약화가 감지됩니다. 기사 방문을 예약해 드리겠습니다. 가장 빠른 일정은 0일 후입니다.
상담사: 고객님은 62개월 이용 중이며, 사용 패턴이 비슷해 현재 요금제와의 적합성을 다시 계산해 보겠습니다.
상담사: 접수번호는 SR-424358입니다. 진행 사항은 문자로 안내드리겠습니다.
고객: 문자/앱 알림으로 진행 상황 받아보겠습니다.",품질,3,False,0.506,0,최지민,01092606044
